Poligon,ORIGEN,PRO_F,ccaa_F,ESTRATOIFN,Superficie,NUT2_NOM,NUT3_NOM,TipesTR25,DesTipEstr,FCCARB,FORARB,FormArbol,n_distribu,Distribuci,n_sp1,Especie1,O1,n_estado1,Estado1,n_sp2,Especie2,O2,n_estado2,Estado2,n_sp3,Especie3,O3,n_estado3,Estado3,FCCMAT,n_FORmat,FormArbust,HMMAT,FCCHER,n_FORHER,FormHerbac,n_ATRIBUTO,atributo,FCCTOT,n_MODCOM,ModeloComb,TIPOBOSQUE,n_CLAIFN,UsoIFN,n_CLAMFE,UsoMFE,n_REGBIO,RegBio,LULUCF,Shape_Area,fid,Severitat
"2413188",MFE25,"25","51","65",5.78428165246,Cataluña,Lleida,"11",Bosque,"10","403",Mezcla de coníferas y frondosas autóctonas en la región biogeográfica Mediterránea,"6",Discontinua irregular,"37",Juniperus communis,"40","2",Monte bravo,"243",Quercus humilis (Q. Pubescens),"30","2",Monte bravo,"45",Quercus ilex,"20","2",Monte bravo,"60","120","Bujedos (Buxus sempervirens, B. balearica)","13","30","0",,"0",Sin atributo,"100","6",Parecido al modelo 5 pero con especies más inflamables o con restos de podasy pl de mayor talla,Masas mixtas,"121",Monte con arbolado ralo. Bosque,"120",Arbolado ralo,"4",Mediterránea,"210",57842.8165246,"128","4"
"2213721",MFE25,"25","51","51",20.1521668854,Cataluña,Lleida,"11",Bosque,"65","403",Mezcla de coníferas y frondosas autóctonas en la región biogeográfica Mediterránea,"1",Uniforme,"243",Quercus humilis (Q. Pubescens),"60","3",Latizal,"24",Pinus halepensis,"30","3",Latizal,"0",sin datos,"0","0",Sin datos,"20","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"7","15","0",,"9",Abancalado,"100","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Masas mixtas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"131",201521.668854,"3","2"
"2413188",MFE25,"25","51","65",5.78428165246,Cataluña,Lleida,"11",Bosque,"10","403",Mezcla de coníferas y frondosas autóctonas en la región biogeográfica Mediterránea,"6",Discontinua irregular,"37",Juniperus communis,"40","2",Monte bravo,"243",Quercus humilis (Q. Pubescens),"30","2",Monte bravo,"45",Quercus ilex,"20","2",Monte bravo,"60","120","Bujedos (Buxus sempervirens, B. balearica)","13","30","0",,"0",Sin atributo,"100","6",Parecido al modelo 5 pero con especies más inflamables o con restos de podasy pl de mayor talla,Masas mixtas,"121",Monte con arbolado ralo. Bosque,"120",Arbolado ralo,"4",Mediterránea,"210",57842.8165246,"9","3"
"2213721",MFE25,"25","51","51",20.1521668854,Cataluña,Lleida,"11",Bosque,"65","403",Mezcla de coníferas y frondosas autóctonas en la región biogeográfica Mediterránea,"1",Uniforme,"243",Quercus humilis (Q. Pubescens),"60","3",Latizal,"24",Pinus halepensis,"30","3",Latizal,"0",sin datos,"0","0",Sin datos,"20","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"7","15","0",,"9",Abancalado,"100","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Masas mixtas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"131",201521.668854,"1","1"
"2413188",MFE25,"25","51","65",5.78428165246,Cataluña,Lleida,"11",Bosque,"10","403",Mezcla de coníferas y frondosas autóctonas en la región biogeográfica Mediterránea,"6",Discontinua irregular,"37",Juniperus communis,"40","2",Monte bravo,"243",Quercus humilis (Q. Pubescens),"30","2",Monte bravo,"45",Quercus ilex,"20","2",Monte bravo,"60","120","Bujedos (Buxus sempervirens, B. balearica)","13","30","0",,"0",Sin atributo,"100","6",Parecido al modelo 5 pero con especies más inflamables o con restos de podasy pl de mayor talla,Masas mixtas,"121",Monte con arbolado ralo. Bosque,"120",Arbolado ralo,"4",Mediterránea,"210",57842.8165246,"3","2"
"2213721",MFE25,"25","51","51",20.1521668854,Cataluña,Lleida,"11",Bosque,"65","403",Mezcla de coníferas y frondosas autóctonas en la región biogeográfica Mediterránea,"1",Uniforme,"243",Quercus humilis (Q. Pubescens),"60","3",Latizal,"24",Pinus halepensis,"30","3",Latizal,"0",sin datos,"0","0",Sin datos,"20","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"7","15","0",,"9",Abancalado,"100","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Masas mixtas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"131",201521.668854,"128","4"
"2213721",MFE25,"25","51","51",20.1521668854,Cataluña,Lleida,"11",Bosque,"65","403",Mezcla de coníferas y frondosas autóctonas en la región biogeográfica Mediterránea,"1",Uniforme,"243",Quercus humilis (Q. Pubescens),"60","3",Latizal,"24",Pinus halepensis,"30","3",Latizal,"0",sin datos,"0","0",Sin datos,"20","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"7","15","0",,"9",Abancalado,"100","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Masas mixtas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"131",201521.668854,"9","3"
"2212573",MFE25,"25","51","15",6.99373715785,Cataluña,Lleida,"11",Bosque,"70","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"50","3",Latizal,"24",Pinus halepensis,"20","3",Latizal,"243",Quercus humilis (Q. Pubescens),"20","3",Latizal,"20","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"100","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",69937.3715785,"128","4"
"2212573",MFE25,"25","51","15",6.99373715785,Cataluña,Lleida,"11",Bosque,"70","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"50","3",Latizal,"24",Pinus halepensis,"20","3",Latizal,"243",Quercus humilis (Q. Pubescens),"20","3",Latizal,"20","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"100","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",69937.3715785,"9","3"
"2212573",MFE25,"25","51","15",6.99373715785,Cataluña,Lleida,"11",Bosque,"70","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"50","3",Latizal,"24",Pinus halepensis,"20","3",Latizal,"243",Quercus humilis (Q. Pubescens),"20","3",Latizal,"20","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"100","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",69937.3715785,"3","2"
