fid,coberta_sol,fid_2,Severitat,area,bm_count,bm_sum,bm_mean,cb_count,cb_sum,cb_mean
"429","2","1995","1",3.3139,76,3046.86001873016,40.0902634043443,76,1539.34000015259,20.2544736862183
"429","2","1968","2",6.5204,142,5432.51997661591,38.2571829339148,142,2740.46999549866,19.2990844753427
"64","6","320","1",8.9416,2,44.5599994659424,22.2799997329712,2,21.5600004196167,10.7800002098083
"429","2","2057","3",15.7401,394,12641.6200218201,32.0853300046195,394,6367.62998819351,16.1614974319632
"78","6","137","2",34.1656,2,41.6399993896484,20.8199996948242,2,20.1099996566772,10.0549998283386
"429","2","2008","4",26.8075,662,23831.8699796796,35.9998035946821,662,11991.7799868882,18.1144712792873
"106","6","136","3",71.7295,10,245.539996147156,24.5539996147156,10,118.499998569489,11.8499998569489
"75","5","128","4",151.9494,25,626.229999542236,25.0491999816895,25,303.630000114441,12.1452000045776
"292","10","1413","1",0.1447,0.38033125360882,13.9075022369969,36.5668140733476,0.38033125360882,6.78503140224662,17.8397944893196
"289","10","1433","2",0.1953,0.221294489198262,10.3565819256444,46.7999992370605,0.221294489198262,5.05879215813972,22.8600006103516
"79","1","102","2",69.5124,5,187.549997329712,37.5099994659424,5,91.0999984741211,18.2199996948242
"321","10","1542","3",0.1176,0,0,,0,0,
"79","1","320","1",96.5425,4,157.359994888306,39.3399987220764,4,76.4700012207031,19.1175003051758
"30","5","320","1",130.2964,6,129.729998588562,21.621666431427,6,62.489999294281,10.4149998823802
"198","1","700","4",3.1073,5.34705313623546,172.427978335211,32.2472909735487,5.34705313623546,83.5903164184458,15.632969093196
"75","5","9","3",493.2865,37,783.35000038147,21.1716216319316,37,379.590000629425,10.2591892062007
"198","1","672","3",37.6622,5,136.579999923706,27.3159999847412,5,66.350001335144,13.2700002670288
"75","5","3","2",377.9133,13,284.239995956421,21.8646150735708,13,137.240000724792,10.5569231326763
"702","7","3225","1",0.9926,23,1787.50002288818,77.7173922994862,23,876.959999084473,38.1286956123684
"2","4","128","4",463.4543,10666,329747.840145111,30.9157922506198,10666,159160.360021591,14.9222163905486
"2","4","8","2",158.1184,3095,93961.2799835205,30.3590565374864,3095,45348.3600025177,14.6521357035598
"2","4","9","3",401.8225,7936,201023.840050697,25.3306250063883,7936,96989.7099990845,12.2214856349653
"1","4","2","1",86.9443,1943,78818.7299985886,40.5654812138902,1943,38058.7599859238,19.5876273730951
"129","8","330","1",14.5025,8.1626848213715,396.848715931977,48.6174248567027,8.1626848213715,193.918333394478,23.7566851640238
"23","8","96","2",15.6007,10.0359933611045,214.237779426011,21.3469431193838,10.0359933611045,105.002150880714,10.4625568294675
"310","3","1458","4",17.4954,420,13210.0600223541,31.4525238627479,420,6409.10999441147,15.2597857009797
"186","3","672","3",14.4386,330,9222.62997436523,27.9473635586825,330,4477.6699924469,13.5686969468088
"23","8","100","3",5.1784,4,86.5100002288818,21.6275000572205,4,41.8900003433228,10.4725000858307
"73","3","124","2",12.8177,290,9718.65998935699,33.5126206529552,290,4723.29001092911,16.2872069342383
"23","8","128","4",0.1618,1.08940256404855,47.1348538512986,43.2666999388465,1.08940256404855,22.8945798265863,21.0157205262149
"8","3","320","1",14.227,328,14773.730017662,45.0418598099453,328,7186.38999986649,21.909725609349
"106","6","128","4",19.3514,6,162.170000076294,27.028333346049,6,78.4699993133545,13.0783332188924
